student_id,cgpa,skills,projects_count,domain_interest,certifications,experience_level,communication_skill,hackathons,github_score,internship_role
40,7.2,HTML|CSS|JS,3,Machine Learning,3,Beginner,10,2,54,ML Intern
41,7.5,Python|SQL|Tableau,4,Web Development,4,Intermediate,10,2,58,Full Stack Intern
42,9.59,C++|DSA,4,Web Development,3,Intermediate,7,4,94,Full Stack Intern
43,7.23,Python|DL|NLP,3,Machine Learning,5,Beginner,5,5,49,ML Intern
44,6.81,HTML|CSS|JS,5,Data Science,5,Advanced,8,2,57,Data Science Intern
45,7.95,React|Node.js,2,Data Analysis,4,Beginner,6,2,49,Data Analyst Intern
46,6.34,HTML|CSS|Bootstrap,2,Data Analysis,2,Advanced,8,2,50,Data Analyst Intern
47,7.79,HTML|CSS|Bootstrap,6,Data Science,2,Intermediate,9,5,34,Data Science Intern
48,9.42,Python|SQL|Tableau,2,Data Analysis,2,Intermediate,10,5,49,Data Analyst Intern
49,8.76,Python|AI|Deep Learning,2,AI,1,Intermediate,10,4,97,AI Intern
50,7.88,HTML|CSS|JS,6,AI,3,Beginner,4,3,70,AI Intern
51,8.99,Python|AI|Deep Learning,1,Data Analysis,2,Beginner,6,3,39,Data Analyst Intern
52,8.39,Python|ML|Pandas,5,Data Analysis,2,Intermediate,7,1,53,Data Analyst Intern
53,9.05,React|Node.js,1,Machine Learning,1,Beginner,5,2,39,ML Intern
54,7.2,HTML|CSS|JS,3,Data Analysis,0,Intermediate,9,3,60,Data Analyst Intern
55,7.74,C++|DSA,4,Machine Learning,2,Advanced,5,3,42,ML Intern
56,8.68,Python|ML|Pandas,2,AI,3,Advanced,9,5,50,AI Intern
57,8.79,React|Node.js,6,AI,2,Beginner,4,1,71,AI Intern
58,9.58,Python|ML|Pandas,1,Software Development,1,Advanced,9,1,76,SDE Intern
59,7.73,HTML|CSS|JS,1,Data Science,5,Intermediate,4,0,62,Data Science Intern
60,9.71,Python|SQL|Tableau,4,AI,2,Beginner,4,1,57,AI Intern
61,6.09,Python|DL|NLP,1,Data Science,5,Intermediate,5,5,51,Data Science Intern
62,8.09,Python|ML|Data Analysis,2,Web Development,4,Advanced,5,5,67,Frontend Intern
63,9.38,Python|SQL|Tableau,2,Web Development,2,Advanced,8,2,40,Frontend Intern
64,7.06,C|C++|DSA,2,Software Development,4,Intermediate,5,1,84,SDE Intern
65,7.46,C++|DSA,4,AI,5,Advanced,10,2,60,AI Intern
66,9.27,Python|AI|Deep Learning,5,Data Science,0,Advanced,5,2,63,Data Science Intern
67,8.71,Python|AI|Deep Learning,1,Machine Learning,5,Intermediate,8,5,53,ML Intern
68,6.98,Python|DL|NLP,5,Machine Learning,2,Advanced,4,4,68,ML Intern
69,6.63,Python|ML|Pandas,2,Web Development,4,Intermediate,10,5,82,Full Stack Intern
70,9.47,C|C++|DSA,5,Data Analysis,2,Beginner,5,5,41,Data Analyst Intern
71,9.29,Python|ML|Pandas,1,AI,2,Intermediate,8,2,91,AI Intern
72,7.12,Python|ML|Data Analysis,6,Data Science,1,Beginner,4,2,46,Data Science Intern
73,8.12,C++|DSA,6,AI,2,Intermediate,8,5,91,AI Intern
74,7.75,Python|ML|Data Analysis,1,Machine Learning,4,Beginner,4,5,45,ML Intern
75,9.22,HTML|CSS|JS,4,Software Development,3,Advanced,5,0,94,SDE Intern
76,6.56,Python|SQL|Tableau,5,Machine Learning,0,Advanced,4,4,68,ML Intern
77,6.1,React|Node.js,5,Web Development,4,Advanced,8,1,63,Full Stack Intern
78,9.0,React|Node.js,6,AI,1,Beginner,5,3,55,AI Intern
79,6.61,HTML|CSS|JS,6,Web Development,5,Advanced,4,0,59,Frontend Intern
80,6.24,React|Node.js,2,Machine Learning,0,Intermediate,10,0,31,ML Intern
81,8.4,Python|ML|Data Analysis,1,AI,3,Advanced,8,0,54,AI Intern
82,7.07,C++|DSA,4,Machine Learning,5,Beginner,10,0,87,ML Intern
83,7.28,HTML|CSS|JS,5,Software Development,0,Advanced,5,4,80,SDE Intern
84,7.16,Python|ML|Pandas,3,Web Development,5,Beginner,4,3,80,Frontend Intern
85,8.17,C++|DSA,4,Data Science,1,Beginner,9,1,88,Data Science Intern
86,8.97,C++|DSA,3,Data Analysis,4,Intermediate,9,1,42,Data Analyst Intern
87,8.27,Python|ML|Pandas,2,AI,5,Intermediate,5,1,83,AI Intern
88,9.57,HTML|CSS|JS,4,Data Science,3,Intermediate,9,2,32,Data Science Intern
89,7.73,C++|DSA,4,Web Development,4,Advanced,8,4,94,Full Stack Intern
90,7.71,C++|DSA,5,Data Analysis,3,Beginner,10,3,94,Data Analyst Intern
91,8.6,Python|ML|Data Analysis,4,Machine Learning,1,Beginner,6,5,57,ML Intern
92,8.0,Python|DL|NLP,1,Data Analysis,4,Beginner,6,1,50,Data Analyst Intern
93,9.67,React|Node.js,1,Software Development,5,Advanced,8,2,54,SDE Intern
94,9.2,C|C++|DSA,3,Software Development,4,Beginner,4,2,37,SDE Intern
95,7.61,HTML|CSS|Bootstrap,2,Data Science,2,Beginner,9,3,76,Data Science Intern
96,9.57,HTML|CSS|Bootstrap,3,AI,2,Intermediate,4,1,68,AI Intern
97,8.16,React|Node.js,4,Web Development,1,Advanced,5,3,100,Frontend Intern
98,7.16,Python|ML|Pandas,6,Data Science,5,Beginner,9,4,88,Data Science Intern
99,8.27,React|Node.js,1,Software Development,2,Beginner,9,1,38,SDE Intern
100,6.33,Python|ML|Pandas,3,Data Science,4,Beginner,8,5,56,Data Science Intern
101,6.15,C|C++|DSA,2,Machine Learning,0,Intermediate,9,1,65,ML Intern
102,6.96,React|Node.js,3,Web Development,3,Advanced,7,0,59,Frontend Intern
103,9.49,C++|DSA,2,Machine Learning,3,Advanced,6,5,67,ML Intern
104,7.78,Python|ML|Pandas,1,Data Analysis,1,Intermediate,4,4,92,Data Analyst Intern
105,6.26,HTML|CSS|Bootstrap,4,Data Analysis,2,Advanced,6,1,49,Data Analyst Intern
106,6.18,Python|AI|Deep Learning,3,Data Science,4,Advanced,7,1,74,Data Science Intern
107,8.26,Python|DL|NLP,6,Software Development,1,Advanced,7,3,90,SDE Intern
108,9.7,Python|DL|NLP,2,Data Science,0,Beginner,6,2,52,Data Science Intern
109,9.23,Python|SQL|Tableau,6,AI,4,Intermediate,7,5,38,AI Intern
110,6.91,C++|DSA,6,Software Development,4,Advanced,7,2,55,SDE Intern
111,8.42,C++|DSA,2,Data Science,4,Intermediate,10,2,94,Data Science Intern
112,8.73,Python|ML|Data Analysis,2,Data Analysis,5,Advanced,5,1,85,Data Analyst Intern
113,7.35,HTML|CSS|JS,6,Data Analysis,4,Intermediate,10,2,66,Data Analyst Intern
114,6.4,C|C++|DSA,4,Web Development,4,Intermediate,10,4,47,Full Stack Intern
115,8.82,Python|ML|Pandas,5,Web Development,0,Beginner,7,1,37,Frontend Intern
116,7.74,C|C++|DSA,2,Software Development,3,Advanced,6,4,66,SDE Intern
117,8.04,Python|SQL|Tableau,6,Software Development,2,Intermediate,7,5,35,SDE Intern
118,7.9,HTML|CSS|JS,5,Software Development,0,Intermediate,4,5,86,SDE Intern
119,7.0,HTML|CSS|Bootstrap,6,AI,3,Beginner,6,1,35,AI Intern
120,8.34,Python|ML|Data Analysis,1,Machine Learning,2,Advanced,4,3,69,ML Intern
121,7.38,React|Node.js,6,Data Analysis,4,Beginner,7,5,98,Data Analyst Intern
122,7.44,HTML|CSS|Bootstrap,6,Data Science,1,Advanced,5,5,92,Data Science Intern
123,9.02,HTML|CSS|Bootstrap,6,AI,2,Intermediate,10,1,58,AI Intern
124,7.24,React|Node.js,6,Machine Learning,2,Intermediate,8,3,42,ML Intern
125,7.13,Python|AI|Deep Learning,5,Software Development,1,Beginner,6,1,51,SDE Intern
126,8.88,Python|SQL|Tableau,6,Data Science,1,Beginner,6,4,52,Data Science Intern
127,9.58,C|C++|DSA,1,Software Development,0,Beginner,4,2,54,SDE Intern
128,7.82,C|C++|DSA,4,Web Development,4,Beginner,8,5,57,Full Stack Intern
129,8.75,Python|SQL|Tableau,6,Software Development,5,Beginner,6,0,83,SDE Intern
130,8.76,Python|DL|NLP,5,Software Development,2,Advanced,6,0,49,SDE Intern
131,8.95,Python|SQL|Tableau,3,Web Development,0,Advanced,5,3,54,Frontend Intern
132,6.77,Python|AI|Deep Learning,2,Data Science,5,Intermediate,8,2,57,Data Science Intern
133,8.78,HTML|CSS|JS,4,Software Development,5,Advanced,6,3,57,SDE Intern
134,7.69,Python|ML|Data Analysis,4,Machine Learning,5,Intermediate,7,0,76,ML Intern
135,7.62,HTML|CSS|JS,2,Software Development,5,Intermediate,5,5,65,SDE Intern
136,6.5,React|Node.js,2,Data Analysis,2,Advanced,5,5,41,Data Analyst Intern
137,8.08,Python|SQL|Tableau,2,Data Analysis,4,Advanced,4,3,53,Data Analyst Intern
138,9.38,HTML|CSS|JS,5,Data Analysis,2,Intermediate,9,0,85,Data Analyst Intern
139,9.24,React|Node.js,2,Machine Learning,2,Beginner,10,1,34,ML Intern
140,9.65,Python|AI|Deep Learning,1,Machine Learning,5,Advanced,4,2,51,ML Intern
141,7.6,Python|AI|Deep Learning,6,Web Development,2,Beginner,5,1,89,Frontend Intern
142,8.22,C|C++|DSA,3,Data Analysis,0,Advanced,10,3,63,Data Analyst Intern
143,8.7,C++|DSA,2,Web Development,3,Advanced,8,3,64,Frontend Intern
144,6.14,C|C++|DSA,6,Data Science,1,Beginner,7,4,37,Data Science Intern
145,9.35,C++|DSA,1,Data Analysis,5,Beginner,8,5,74,Data Analyst Intern
146,9.1,C|C++|DSA,3,Data Analysis,1,Advanced,10,2,61,Data Analyst Intern
147,7.63,Python|ML|Data Analysis,2,Software Development,4,Beginner,7,1,87,SDE Intern
148,7.4,Python|ML|Data Analysis,4,Data Science,3,Advanced,10,3,71,Data Science Intern
149,8.18,Python|DL|NLP,4,AI,3,Beginner,6,3,67,AI Intern
150,7.06,Python|DL|NLP,1,Web Development,0,Beginner,6,1,50,Full Stack Intern
151,6.7,C|C++|DSA,3,Data Analysis,3,Beginner,5,0,85,Data Analyst Intern
152,7.76,Python|ML|Pandas,1,Data Science,1,Intermediate,8,2,99,Data Science Intern
153,6.82,React|Node.js,4,AI,0,Intermediate,5,0,75,AI Intern
154,6.38,Python|AI|Deep Learning,2,Machine Learning,0,Beginner,7,0,71,ML Intern
155,9.7,React|Node.js,4,Web Development,1,Intermediate,7,4,41,Frontend Intern
156,9.5,Python|AI|Deep Learning,3,AI,4,Intermediate,4,5,82,AI Intern
157,8.82,C++|DSA,4,AI,2,Beginner,9,1,47,AI Intern
158,6.78,Python|AI|Deep Learning,1,Software Development,5,Intermediate,4,4,57,SDE Intern
159,6.09,HTML|CSS|Bootstrap,1,Web Development,4,Advanced,8,3,88,Full Stack Intern
160,7.39,C++|DSA,3,Data Science,3,Beginner,6,3,92,Data Science Intern
161,7.55,React|Node.js,4,Data Science,1,Advanced,4,5,40,Data Science Intern
162,6.76,C|C++|DSA,2,Data Analysis,2,Intermediate,6,5,80,Data Analyst Intern
163,7.37,Python|DL|NLP,3,AI,3,Beginner,6,3,57,AI Intern
164,7.33,Python|DL|NLP,3,Web Development,5,Intermediate,6,3,77,Frontend Intern
165,7.92,Python|SQL|Tableau,3,Data Analysis,4,Advanced,10,3,62,Data Analyst Intern
166,8.65,Python|SQL|Tableau,6,Software Development,0,Intermediate,9,4,72,SDE Intern
167,7.23,C++|DSA,2,Machine Learning,0,Beginner,7,4,70,ML Intern
168,7.92,HTML|CSS|JS,1,Software Development,0,Advanced,9,1,64,SDE Intern
169,8.23,C++|DSA,4,Data Science,2,Advanced,5,2,49,Data Science Intern
170,9.28,HTML|CSS|JS,1,AI,3,Beginner,4,3,40,AI Intern
171,8.02,Python|AI|Deep Learning,6,Data Science,4,Advanced,5,2,96,Data Science Intern
172,6.71,C++|DSA,1,Web Development,2,Advanced,8,5,31,Full Stack Intern
173,7.56,Python|ML|Data Analysis,5,Data Analysis,0,Advanced,9,2,99,Data Analyst Intern
174,6.34,Python|ML|Data Analysis,5,AI,0,Beginner,5,0,49,AI Intern
175,7.02,HTML|CSS|Bootstrap,2,AI,3,Advanced,8,0,63,AI Intern
176,8.08,Python|ML|Pandas,3,Data Science,5,Advanced,10,4,30,Data Science Intern
177,9.55,Python|SQL|Tableau,3,Software Development,2,Intermediate,9,2,85,SDE Intern
178,7.99,C++|DSA,1,Software Development,3,Advanced,5,0,32,SDE Intern
179,6.07,React|Node.js,2,Web Development,1,Beginner,5,2,83,Frontend Intern
180,8.18,Python|AI|Deep Learning,5,Software Development,2,Advanced,9,1,98,SDE Intern
181,7.48,Python|DL|NLP,2,AI,4,Beginner,9,0,83,AI Intern
182,7.99,Python|ML|Data Analysis,5,AI,2,Intermediate,6,0,87,AI Intern
183,7.88,HTML|CSS|Bootstrap,6,Data Analysis,4,Intermediate,10,3,64,Data Analyst Intern
184,8.54,Python|ML|Data Analysis,3,Data Science,2,Advanced,5,5,46,Data Science Intern
185,8.3,HTML|CSS|Bootstrap,2,Data Analysis,0,Beginner,5,2,83,Data Analyst Intern
186,9.62,HTML|CSS|JS,2,AI,1,Intermediate,5,0,68,AI Intern
187,7.29,React|Node.js,1,Web Development,1,Advanced,5,3,57,Full Stack Intern
188,7.02,C++|DSA,6,Software Development,5,Intermediate,9,5,55,SDE Intern
189,6.73,HTML|CSS|Bootstrap,4,Software Development,1,Beginner,10,3,79,SDE Intern
190,6.67,Python|SQL|Tableau,6,Data Analysis,0,Beginner,5,1,65,Data Analyst Intern
191,6.14,Python|SQL|Tableau,1,Software Development,3,Intermediate,5,0,86,SDE Intern
192,7.27,React|Node.js,1,Machine Learning,3,Advanced,8,4,81,ML Intern
193,6.7,HTML|CSS|Bootstrap,2,AI,0,Beginner,10,0,96,AI Intern
194,8.91,Python|SQL|Tableau,1,Data Analysis,3,Intermediate,8,3,72,Data Analyst Intern
195,9.2,HTML|CSS|JS,3,Machine Learning,1,Beginner,7,0,67,ML Intern
196,8.6,Python|ML|Data Analysis,2,Machine Learning,4,Advanced,6,5,84,ML Intern
197,8.75,C++|DSA,1,Software Development,4,Advanced,9,1,68,SDE Intern
198,8.8,C++|DSA,4,Machine Learning,3,Beginner,8,0,83,ML Intern
199,8.01,HTML|CSS|JS,3,Software Development,5,Advanced,10,3,52,SDE Intern
200,8.3,React|Node.js,4,Web Development,0,Intermediate,7,3,75,Full Stack Intern
201,7.11,Python|DL|NLP,1,Data Science,1,Intermediate,8,2,75,Data Science Intern
202,8.86,Python|DL|NLP,3,AI,5,Advanced,4,2,30,AI Intern
203,6.19,React|Node.js,2,Web Development,4,Advanced,7,0,30,Frontend Intern
204,7.35,Python|SQL|Tableau,5,Software Development,2,Intermediate,5,2,71,SDE Intern
205,9.76,HTML|CSS|JS,3,Web Development,3,Beginner,7,2,75,Full Stack Intern
206,9.64,HTML|CSS|JS,4,Data Science,3,Advanced,8,0,38,Data Science Intern
207,6.54,Python|AI|Deep Learning,4,AI,4,Beginner,4,2,63,AI Intern
208,6.24,Python|DL|NLP,2,AI,4,Intermediate,7,3,49,AI Intern
209,8.44,C++|DSA,6,Software Development,4,Intermediate,8,0,38,SDE Intern
210,9.49,Python|DL|NLP,3,Machine Learning,3,Beginner,6,0,97,ML Intern
211,8.22,HTML|CSS|Bootstrap,4,Data Science,5,Beginner,10,2,43,Data Science Intern
212,7.34,HTML|CSS|Bootstrap,2,Data Science,3,Intermediate,10,5,35,Data Science Intern
213,6.21,C++|DSA,6,AI,2,Beginner,10,4,79,AI Intern
214,8.76,HTML|CSS|JS,6,Machine Learning,5,Beginner,6,0,61,ML Intern
215,9.73,C++|DSA,6,AI,3,Beginner,6,3,74,AI Intern
216,7.73,HTML|CSS|Bootstrap,1,Software Development,3,Intermediate,10,0,89,SDE Intern
217,7.04,C|C++|DSA,3,Software Development,3,Beginner,5,3,76,SDE Intern
218,8.27,Python|AI|Deep Learning,4,AI,1,Intermediate,10,3,75,AI Intern
219,9.14,Python|AI|Deep Learning,6,Data Science,3,Beginner,7,2,64,Data Science Intern
220,9.41,Python|DL|NLP,4,Software Development,1,Beginner,10,5,88,SDE Intern
221,8.37,Python|DL|NLP,1,Web Development,5,Advanced,10,4,97,Frontend Intern
222,9.49,Python|ML|Data Analysis,4,Machine Learning,3,Advanced,6,0,60,ML Intern
223,7.22,HTML|CSS|Bootstrap,4,AI,3,Advanced,7,2,37,AI Intern
224,8.23,C++|DSA,6,Data Analysis,4,Beginner,6,1,95,Data Analyst Intern
225,9.1,C|C++|DSA,3,Machine Learning,3,Intermediate,7,1,100,ML Intern
226,6.39,Python|SQL|Tableau,4,Software Development,5,Intermediate,7,3,89,SDE Intern
227,6.33,C|C++|DSA,3,Machine Learning,0,Beginner,4,2,46,ML Intern
228,7.63,Python|AI|Deep Learning,4,AI,1,Beginner,8,3,94,AI Intern
229,9.73,React|Node.js,3,Data Science,3,Intermediate,7,1,77,Data Science Intern
230,9.07,C|C++|DSA,4,Data Science,0,Advanced,7,0,69,Data Science Intern
231,9.38,Python|DL|NLP,2,Web Development,0,Beginner,4,0,81,Full Stack Intern
232,9.63,C++|DSA,6,Software Development,0,Advanced,5,1,41,SDE Intern
233,9.65,C++|DSA,3,Data Analysis,1,Beginner,9,3,84,Data Analyst Intern
234,7.46,Python|AI|Deep Learning,4,Data Science,2,Advanced,10,2,78,Data Science Intern
235,8.52,HTML|CSS|JS,2,Data Science,2,Intermediate,8,5,83,Data Science Intern
236,9.33,C|C++|DSA,4,Data Science,2,Intermediate,10,2,46,Data Science Intern
237,8.13,React|Node.js,3,AI,4,Advanced,5,2,76,AI Intern
238,6.08,Python|DL|NLP,6,Data Science,2,Advanced,7,5,95,Data Science Intern
239,6.49,HTML|CSS|Bootstrap,6,AI,1,Beginner,4,3,63,AI Intern
240,9.08,Python|AI|Deep Learning,5,Machine Learning,1,Intermediate,8,5,44,ML Intern
241,8.67,Python|DL|NLP,6,Data Analysis,2,Intermediate,9,5,42,Data Analyst Intern
242,7.56,HTML|CSS|JS,3,Machine Learning,5,Beginner,6,0,60,ML Intern
243,8.18,Python|AI|Deep Learning,1,Machine Learning,0,Intermediate,8,5,54,ML Intern
244,8.91,Python|AI|Deep Learning,3,Data Analysis,0,Intermediate,10,1,89,Data Analyst Intern
245,7.63,HTML|CSS|JS,1,Web Development,1,Intermediate,10,5,51,Full Stack Intern
246,8.41,React|Node.js,3,Software Development,4,Advanced,8,1,42,SDE Intern
247,9.38,C++|DSA,1,Data Science,4,Beginner,10,0,43,Data Science Intern
248,9.74,Python|DL|NLP,1,Software Development,2,Beginner,9,1,87,SDE Intern
249,9.05,React|Node.js,3,Machine Learning,0,Intermediate,8,1,79,ML Intern
250,6.65,Python|ML|Data Analysis,4,AI,1,Intermediate,7,0,64,AI Intern
251,8.29,HTML|CSS|Bootstrap,4,Web Development,2,Intermediate,8,4,99,Full Stack Intern
252,6.08,HTML|CSS|Bootstrap,1,Machine Learning,4,Beginner,8,2,83,ML Intern
253,6.09,React|Node.js,6,Software Development,3,Beginner,10,4,52,SDE Intern
254,9.14,Python|ML|Pandas,2,Data Analysis,4,Beginner,8,2,65,Data Analyst Intern
255,7.93,C++|DSA,3,Data Science,1,Beginner,5,0,36,Data Science Intern
256,6.77,Python|SQL|Tableau,1,Data Science,0,Advanced,7,2,92,Data Science Intern
257,7.92,Python|SQL|Tableau,2,Data Science,2,Advanced,5,2,95,Data Science Intern
258,6.5,C++|DSA,3,AI,0,Intermediate,9,2,65,AI Intern
259,7.01,HTML|CSS|JS,6,AI,3,Beginner,10,5,41,AI Intern
260,9.08,C++|DSA,4,Machine Learning,4,Advanced,6,4,97,ML Intern
261,6.71,Python|AI|Deep Learning,6,Data Science,4,Beginner,9,5,78,Data Science Intern
262,6.95,Python|DL|NLP,5,Machine Learning,5,Intermediate,8,1,70,ML Intern
263,8.65,Python|AI|Deep Learning,4,Software Development,2,Intermediate,6,1,80,SDE Intern
264,8.37,Python|DL|NLP,3,Software Development,0,Intermediate,4,5,30,SDE Intern
265,8.73,React|Node.js,5,Software Development,4,Intermediate,5,4,47,SDE Intern
266,7.35,HTML|CSS|JS,4,Data Science,0,Intermediate,9,1,53,Data Science Intern
267,9.13,Python|ML|Data Analysis,5,AI,0,Intermediate,10,0,81,AI Intern
268,9.32,HTML|CSS|Bootstrap,5,Data Science,1,Beginner,10,0,41,Data Science Intern
269,8.22,Python|AI|Deep Learning,2,Web Development,1,Beginner,9,4,76,Full Stack Intern
270,8.41,Python|SQL|Tableau,1,Software Development,3,Intermediate,7,0,97,SDE Intern
271,9.71,Python|SQL|Tableau,6,Machine Learning,4,Intermediate,6,0,88,ML Intern
272,8.02,React|Node.js,6,Data Analysis,1,Intermediate,4,4,87,Data Analyst Intern
273,7.89,HTML|CSS|JS,2,Data Analysis,2,Beginner,7,4,31,Data Analyst Intern
274,7.84,React|Node.js,3,Software Development,5,Beginner,5,3,88,SDE Intern
275,7.25,Python|ML|Data Analysis,3,AI,5,Beginner,5,2,46,AI Intern
276,8.54,Python|SQL|Tableau,6,AI,5,Intermediate,4,2,59,AI Intern
277,7.31,HTML|CSS|Bootstrap,2,Data Analysis,0,Advanced,7,0,71,Data Analyst Intern
278,8.65,Python|AI|Deep Learning,4,Web Development,2,Advanced,4,1,93,Full Stack Intern
279,6.29,C|C++|DSA,4,Data Science,4,Beginner,10,1,81,Data Science Intern
280,6.6,React|Node.js,3,Machine Learning,0,Beginner,5,3,88,ML Intern
281,6.86,C|C++|DSA,4,Machine Learning,4,Intermediate,10,5,41,ML Intern
282,8.19,React|Node.js,2,Web Development,4,Advanced,9,4,56,Full Stack Intern
283,6.26,React|Node.js,6,Data Analysis,3,Advanced,8,0,46,Data Analyst Intern
284,8.24,Python|ML|Pandas,1,Machine Learning,2,Advanced,5,0,39,ML Intern
285,8.33,C++|DSA,1,Data Analysis,1,Advanced,4,2,82,Data Analyst Intern
286,6.17,C++|DSA,4,Software Development,0,Beginner,6,4,67,SDE Intern
287,7.57,Python|ML|Data Analysis,2,Machine Learning,1,Beginner,9,1,86,ML Intern
288,7.33,Python|AI|Deep Learning,3,Software Development,2,Beginner,7,5,83,SDE Intern
289,8.29,C++|DSA,1,Software Development,5,Intermediate,4,0,98,SDE Intern
290,6.1,HTML|CSS|Bootstrap,1,AI,1,Advanced,5,2,66,AI Intern
291,7.68,HTML|CSS|JS,1,AI,0,Beginner,5,3,81,AI Intern
292,9.56,Python|AI|Deep Learning,6,Data Science,3,Advanced,9,3,50,Data Science Intern
293,6.17,Python|AI|Deep Learning,2,Data Science,2,Advanced,5,0,52,Data Science Intern
294,8.2,C++|DSA,6,Machine Learning,4,Advanced,8,4,47,ML Intern
295,9.55,Python|AI|Deep Learning,4,Software Development,4,Beginner,4,0,56,SDE Intern
296,9.02,C|C++|DSA,6,Software Development,4,Advanced,6,3,84,SDE Intern
297,8.07,Python|ML|Data Analysis,4,Software Development,3,Intermediate,8,5,63,SDE Intern
298,8.17,HTML|CSS|Bootstrap,5,Data Analysis,5,Intermediate,9,3,57,Data Analyst Intern
299,8.33,C|C++|DSA,1,Data Science,4,Advanced,5,5,39,Data Science Intern
300,6.67,Python|SQL|Tableau,1,Data Analysis,5,Advanced,10,4,89,Data Analyst Intern
301,9.12,Python|SQL|Tableau,3,Web Development,0,Intermediate,9,3,48,Frontend Intern
302,9.36,React|Node.js,3,Machine Learning,4,Intermediate,4,0,79,ML Intern
303,7.55,React|Node.js,1,Software Development,3,Intermediate,10,5,35,SDE Intern
304,6.53,React|Node.js,3,Data Analysis,2,Intermediate,8,5,55,Data Analyst Intern
305,8.26,Python|AI|Deep Learning,1,AI,5,Advanced,7,3,78,AI Intern
306,6.62,Python|ML|Pandas,6,Web Development,4,Intermediate,10,1,43,Frontend Intern
307,8.75,Python|ML|Pandas,2,Data Science,1,Advanced,5,0,47,Data Science Intern
308,6.5,Python|SQL|Tableau,4,Data Analysis,1,Advanced,5,4,99,Data Analyst Intern
309,9.52,React|Node.js,6,Data Analysis,3,Beginner,9,0,71,Data Analyst Intern
310,8.77,C++|DSA,1,Software Development,5,Intermediate,10,0,49,SDE Intern
