Student_ID,Study_Hours,Attendance,Previous_GPA,Assignments_Completed,Class_Participation,Sleep_Hours,Internet_Usage,Extra_Activities,Stress_Level,Mock_Test_Score,Final_GPA,Performance
62,9,80,5.95,9,7,4,3,1,3,64,8.63,Excellent
63,8,70,4.27,8,6,5,2,1,9,87,7.25,Good
64,5,75,4.17,6,7,5,6,0,9,43,5.92,Poor
65,2,89,7.05,10,8,6,1,1,2,69,7.31,Good
66,5,97,8.19,10,5,6,6,0,6,47,7.67,Good
67,8,94,6.96,10,3,8,4,1,3,88,8.75,Excellent
68,9,62,8.62,8,3,4,5,0,5,60,8.08,Good
69,9,98,4.18,9,2,6,7,1,2,90,8.5,Excellent
70,1,72,6.02,10,8,5,2,1,4,43,6.03,Average
71,9,69,5.3,4,1,4,7,1,3,99,7.55,Good
72,7,86,6.46,7,8,6,5,0,2,43,8.06,Good
73,9,77,4.4,9,3,4,6,1,6,47,7.42,Good
74,8,66,9.25,6,9,8,1,0,3,81,8.78,Excellent
75,1,77,5.23,9,2,5,1,1,4,65,5.5,Poor
76,8,90,9.07,6,9,4,6,1,6,68,8.79,Excellent
77,8,51,6.34,9,6,5,6,0,5,55,7.46,Good
78,3,74,9.42,10,1,6,1,0,4,58,6.78,Average
79,1,99,7.05,7,5,7,4,0,4,40,6.14,Average
80,8,90,9.12,7,9,4,2,1,2,76,9.37,Excellent
81,3,55,4.03,6,6,5,5,1,4,73,5.6,Poor
82,3,60,8.12,9,7,4,3,1,8,68,6.45,Average
83,1,87,8.97,7,4,6,7,1,5,66,6.34,Average
84,5,55,4.77,5,1,6,6,1,8,87,5.49,Poor
85,7,94,4.53,9,5,5,6,1,6,84,7.75,Good
86,9,60,6.34,7,2,8,7,1,5,69,7.48,Good
87,7,63,9.14,4,8,4,1,0,4,45,7.66,Good
88,9,51,6.98,4,4,4,5,1,9,75,7.0,Good
89,8,89,6.9,5,1,6,5,0,5,96,7.84,Good
90,2,52,4.78,7,7,4,4,1,6,78,5.44,Poor
91,1,84,4.0,4,2,5,2,0,7,41,4.38,Poor
92,7,82,8.46,10,3,7,4,0,1,94,8.77,Excellent
93,7,73,4.48,9,9,6,4,0,9,81,7.39,Good
94,8,68,7.49,8,9,7,5,1,8,53,7.9,Good
95,5,67,9.03,7,2,4,2,0,5,47,6.76,Average
96,3,98,5.15,5,3,8,2,0,3,42,6.06,Average
97,8,73,7.66,7,9,5,2,0,5,74,8.44,Good
98,6,94,4.43,6,1,4,7,0,5,66,6.67,Average
99,3,84,7.32,6,2,5,1,1,9,73,5.93,Poor
100,1,50,4.9,4,2,4,2,1,7,67,4.14,Poor
101,3,85,8.05,6,3,4,5,1,2,70,6.85,Average
102,5,74,5.66,5,3,4,7,1,5,56,6.22,Average
103,3,94,6.55,4,2,6,1,0,9,58,5.63,Poor
104,1,98,7.3,5,8,7,3,1,2,81,6.87,Average
105,5,92,4.94,9,8,8,6,0,8,83,7.29,Good
106,7,83,8.08,5,8,7,4,1,3,98,8.56,Excellent
107,7,74,5.66,6,2,7,2,0,4,94,7.28,Good
108,9,65,7.64,9,9,5,3,0,2,50,8.83,Excellent
109,3,83,4.87,6,7,6,2,0,9,48,5.68,Poor
110,7,78,7.78,5,5,6,4,0,6,69,7.53,Good
111,1,68,4.71,6,7,4,5,1,9,96,5.23,Poor
112,4,72,6.34,6,8,7,5,1,8,84,6.59,Average
113,4,68,5.36,6,9,8,4,0,9,45,5.94,Poor
114,5,74,8.12,7,2,5,3,0,5,53,6.77,Average
115,7,65,5.44,9,6,6,1,1,6,70,7.32,Good
116,7,58,8.85,9,9,4,6,1,7,93,8.27,Good
117,4,50,8.91,10,6,8,6,1,5,50,6.82,Average
118,7,91,5.08,9,2,7,6,0,1,44,7.6,Good
119,3,68,7.38,10,1,8,1,0,9,70,5.89,Poor
120,6,82,4.48,5,3,6,2,0,2,41,6.59,Average
121,2,83,6.15,10,5,5,4,0,7,78,6.32,Average
122,9,65,7.92,10,7,7,4,1,8,56,8.25,Good
123,5,93,7.63,8,3,5,1,0,8,77,7.19,Good
124,6,89,7.44,5,9,8,3,1,1,85,8.42,Good
125,4,67,5.55,9,4,8,6,0,7,75,6.25,Average
126,7,83,6.08,4,2,4,7,1,9,42,6.34,Average
127,9,74,4.57,6,3,7,4,0,3,82,7.73,Good
128,7,94,7.95,6,5,8,5,1,8,68,7.77,Good
129,1,55,6.77,8,3,6,5,1,8,72,5.05,Poor
130,1,70,7.9,4,5,6,7,0,9,53,5.08,Poor
131,9,55,5.37,7,4,5,4,1,8,77,7.18,Good
132,9,81,5.78,10,3,6,6,1,5,68,8.17,Good
133,4,90,5.84,5,6,8,6,1,5,62,6.63,Average
134,9,97,4.14,7,8,6,6,0,3,98,8.85,Excellent
135,3,92,5.88,4,4,7,3,0,6,56,5.93,Poor
136,7,88,8.42,8,9,5,5,0,3,98,9.12,Excellent
137,6,80,8.94,4,6,7,3,0,2,88,8.08,Good
138,8,91,6.85,8,5,8,1,1,7,94,8.34,Good
139,9,59,6.51,7,3,8,2,1,3,50,7.6,Good
140,5,79,4.17,7,5,6,6,0,4,67,6.63,Average
141,1,67,8.84,4,5,4,1,1,8,93,5.7,Poor
142,3,73,4.07,4,4,4,2,0,1,46,5.6,Poor
143,8,58,9.2,10,6,8,7,0,9,84,8.15,Good
144,6,80,6.69,6,3,8,5,1,6,79,7.06,Good
145,8,64,5.88,8,1,5,2,0,2,47,7.26,Good
146,9,53,9.08,6,7,8,2,1,3,80,8.58,Excellent
147,4,89,4.13,5,7,8,4,0,5,68,6.43,Average
148,1,58,7.2,5,4,5,2,0,6,64,5.11,Poor
149,1,94,7.02,4,9,7,4,0,9,46,5.71,Poor
150,4,58,5.21,7,2,7,2,1,2,96,6.31,Average
151,7,75,6.36,5,1,5,4,0,5,61,6.82,Average
152,2,53,7.59,5,3,5,5,1,7,48,5.03,Poor
153,3,66,8.0,6,7,7,5,0,7,50,6.17,Average
154,1,65,4.0,6,9,7,2,0,4,73,5.5,Poor
155,5,64,9.15,10,2,7,7,1,3,66,7.4,Good
156,1,84,4.9,10,6,7,7,1,8,89,5.91,Poor
157,8,54,5.28,5,3,6,3,1,2,61,6.98,Average
158,1,54,5.45,4,5,5,7,1,5,42,4.57,Poor
159,1,69,4.21,6,9,4,5,1,5,89,5.67,Poor
160,2,64,4.68,5,3,6,1,1,1,87,5.65,Poor
161,2,67,9.42,7,1,4,7,0,7,79,5.97,Poor
162,6,96,5.73,6,5,4,1,1,4,94,7.73,Good
163,7,51,4.63,5,1,8,4,0,2,47,6.17,Average
164,5,78,4.59,10,8,5,3,0,8,45,6.67,Average
165,1,62,7.96,8,7,6,6,0,4,96,6.44,Average
166,1,53,8.7,6,2,5,4,1,1,64,5.7,Poor
167,3,91,5.41,8,9,7,2,0,8,41,6.36,Average
168,2,94,4.12,6,5,5,7,0,7,55,5.52,Poor
169,5,59,5.23,6,7,4,5,0,3,97,6.93,Average
170,6,80,4.31,10,4,7,3,1,3,92,7.51,Good
171,7,90,4.57,9,1,5,4,0,7,80,7.15,Good
172,4,57,6.37,9,8,5,4,1,2,90,7.24,Good
173,7,52,5.26,8,1,4,1,0,5,60,6.44,Average
174,8,97,6.84,4,3,7,2,1,7,54,7.47,Good
175,1,95,5.39,5,6,4,4,1,6,95,5.98,Poor
176,6,58,9.17,4,8,5,1,0,7,73,7.25,Good
177,8,79,8.98,4,8,6,3,0,2,86,8.83,Excellent
178,5,60,7.12,9,2,6,4,1,7,93,6.7,Average
179,4,84,5.95,5,9,8,6,1,2,82,7.32,Good
180,2,86,6.1,9,4,6,6,1,7,59,5.99,Poor
181,6,91,6.27,9,4,7,1,0,8,83,7.43,Good
182,6,62,8.0,10,2,8,6,0,8,70,6.98,Average
183,1,85,6.48,9,1,7,2,0,5,54,5.6,Poor
184,9,62,8.71,7,7,6,5,0,7,87,8.46,Good
185,6,61,9.19,4,3,6,6,0,8,67,6.67,Average
186,3,86,5.85,10,4,5,3,1,4,45,6.49,Average
187,4,59,7.08,10,9,7,4,1,2,42,7.15,Good
188,4,58,4.52,4,6,4,1,1,7,77,5.6,Poor
189,3,56,5.1,10,1,5,4,1,1,62,5.92,Poor
190,3,51,6.27,4,9,7,5,1,2,97,6.49,Average
191,3,72,5.13,7,9,8,4,1,7,42,5.94,Poor
192,4,88,8.82,6,5,7,4,0,1,92,7.86,Good
193,7,89,4.87,10,8,8,1,1,7,84,8.01,Good
194,4,88,6.51,8,7,8,5,0,5,83,7.32,Good
195,9,70,7.33,8,8,6,3,0,3,47,8.54,Excellent
196,1,72,7.81,7,9,4,1,0,2,41,6.36,Average
197,8,78,6.11,4,2,7,7,0,7,46,6.78,Average
198,7,63,8.78,8,5,4,5,1,9,56,7.3,Good
199,2,75,7.13,7,8,8,5,1,9,46,5.84,Poor
200,8,54,6.42,9,3,6,4,0,8,72,7.12,Good
201,1,80,4.37,5,6,4,2,0,2,75,5.69,Poor
202,9,74,6.56,8,6,5,2,1,1,86,8.85,Excellent
203,9,80,8.51,5,7,8,3,1,8,43,8.05,Good
204,2,99,7.38,4,3,5,4,1,2,83,6.63,Average
205,7,69,8.58,8,8,4,2,0,4,55,8.16,Good
206,3,93,6.72,7,8,4,1,1,4,60,7.04,Good
207,7,66,4.65,6,9,4,3,1,2,57,7.45,Good
208,9,94,4.08,8,8,7,4,0,4,85,8.65,Excellent
209,4,51,5.67,8,3,8,6,0,7,85,5.86,Poor
210,1,74,7.84,8,6,8,1,1,6,67,6.07,Average
211,2,62,8.35,8,9,8,2,0,6,82,6.67,Average
212,1,88,5.63,7,1,7,2,0,4,99,5.83,Poor
213,5,77,6.73,7,3,4,2,0,2,55,6.97,Average
214,5,91,6.32,6,2,4,2,0,5,86,6.98,Average
215,7,55,6.26,7,8,5,5,0,3,61,7.49,Good
216,9,52,5.27,7,6,7,6,1,3,45,7.47,Good
217,9,84,4.75,4,8,6,3,1,4,69,8.03,Good
218,3,67,5.08,10,2,7,3,1,5,95,6.16,Average
219,3,60,4.3,4,6,5,2,1,2,84,5.86,Poor
220,3,69,5.09,10,7,5,3,1,6,97,6.61,Average
221,4,54,4.05,5,8,5,6,0,6,67,5.72,Poor
222,8,68,7.45,6,9,4,1,1,8,56,7.73,Good
223,6,71,5.74,10,5,6,1,1,2,75,7.64,Good
224,8,68,9.35,4,3,5,7,0,8,51,7.27,Good
225,1,96,5.07,6,2,8,3,1,8,89,5.39,Poor
226,8,65,5.9,6,8,4,2,1,4,98,8.07,Good
227,4,73,5.97,8,1,6,4,1,7,79,6.1,Average
228,1,90,4.05,9,6,8,6,1,7,51,5.49,Poor
229,8,53,8.62,9,2,6,2,0,1,75,8.15,Good
230,4,64,4.18,9,3,6,5,0,1,79,6.45,Average
231,6,74,9.17,6,8,8,4,0,8,68,7.62,Good
232,8,93,8.91,8,1,7,6,0,1,41,8.46,Good
233,4,84,6.95,5,6,6,5,1,3,68,6.99,Average
234,3,63,6.99,5,3,7,3,1,6,69,5.71,Poor
235,9,98,7.6,9,6,6,5,1,8,75,8.83,Excellent
236,3,68,6.13,5,3,8,3,1,5,83,5.87,Poor
237,9,87,7.56,8,8,6,5,1,5,64,8.89,Excellent
238,2,85,4.25,9,5,5,4,1,4,60,6.01,Average
239,2,56,4.3,10,4,5,5,1,4,61,5.46,Poor
240,2,79,6.51,10,9,6,2,0,7,49,6.42,Average
241,6,68,7.02,8,5,8,3,0,6,70,7.2,Good
242,3,98,8.88,5,4,8,1,0,8,86,6.83,Average
243,9,74,4.58,9,8,4,5,0,6,99,8.39,Good
244,4,65,8.52,10,8,8,3,0,7,48,7.02,Good
245,1,96,5.16,8,8,7,1,0,5,80,6.4,Average
246,4,89,6.17,7,4,6,3,0,6,78,6.73,Average
247,1,57,5.74,10,1,5,7,1,1,98,5.83,Poor
248,5,67,6.2,7,2,8,3,1,3,73,6.65,Average
249,4,77,4.83,8,4,5,1,1,8,78,6.14,Average
250,8,65,6.77,8,2,4,1,1,3,80,7.77,Good
251,8,68,8.41,4,3,6,4,0,1,89,8.14,Good
252,7,91,6.43,10,9,8,6,0,3,62,8.63,Excellent
253,3,66,6.7,4,9,5,7,0,4,51,6.22,Average
254,1,94,8.67,6,9,8,5,0,8,46,6.32,Average
255,1,62,7.88,10,7,4,5,1,9,71,5.88,Poor
256,3,56,6.7,9,4,5,7,1,4,58,6.09,Average
257,6,76,5.42,6,1,5,3,1,7,61,6.26,Average
258,7,59,8.87,6,3,6,7,1,1,95,8.02,Good
259,6,83,7.17,5,8,6,2,0,9,55,7.08,Good
260,6,85,5.22,7,4,5,2,0,4,97,7.44,Good
261,6,74,5.48,5,2,6,6,1,9,47,5.9,Poor
262,3,55,8.42,9,8,5,3,1,3,69,7.01,Good
263,6,73,4.24,8,7,7,4,1,5,90,7.24,Good
264,8,67,9.46,4,9,8,1,1,1,45,8.49,Good
265,2,72,4.72,9,2,7,3,1,3,41,5.46,Poor
266,5,55,8.38,8,5,7,5,1,5,73,7.04,Good
267,1,78,6.17,9,6,8,2,0,6,68,5.93,Poor
268,1,74,6.71,8,2,5,2,0,8,79,5.38,Poor
269,5,66,8.84,10,2,5,2,1,1,98,7.89,Good
270,3,95,6.27,4,4,6,4,0,3,81,6.61,Average
271,4,73,6.96,8,8,4,5,0,1,92,7.69,Good
272,3,60,4.27,6,5,5,4,0,5,92,5.73,Poor
273,1,75,4.01,9,9,8,1,1,8,82,5.68,Poor
274,1,83,5.35,4,4,4,3,0,4,91,5.6,Poor
275,5,77,7.74,8,3,8,3,0,9,98,7.0,Good
276,6,52,4.67,6,8,8,7,0,6,97,6.78,Average
277,3,60,4.63,6,1,8,2,0,6,59,4.99,Poor
278,9,87,6.26,10,9,4,7,0,5,95,9.23,Excellent
279,5,63,7.56,7,4,7,2,0,5,42,6.54,Average
280,8,75,7.92,6,9,8,1,0,7,98,8.47,Good
281,1,97,4.98,5,8,6,4,1,8,87,5.86,Poor
282,5,70,4.44,4,3,5,6,0,7,74,5.79,Poor
283,3,88,9.17,4,3,5,6,0,1,47,6.8,Average
284,1,79,5.43,4,9,5,6,0,1,90,6.31,Average
285,4,57,8.69,8,3,4,5,1,6,51,6.34,Average
286,5,69,8.75,9,4,6,1,0,3,89,7.74,Good
287,7,97,8.25,8,9,6,3,1,9,84,8.53,Excellent
288,1,81,4.93,5,4,6,3,0,7,82,5.2,Poor
289,3,71,8.52,9,3,6,4,1,2,71,6.97,Average
290,2,56,8.23,10,7,6,7,1,3,68,6.69,Average
291,9,58,7.28,6,6,7,1,1,8,84,7.78,Good
292,6,94,5.85,8,1,6,5,0,1,60,7.48,Good
293,3,50,5.44,9,8,6,1,1,5,98,6.41,Average
294,8,78,4.67,6,1,4,1,0,1,42,7.15,Good
295,8,57,6.8,9,4,4,4,0,9,77,7.3,Good
296,2,53,7.22,6,6,6,5,0,7,66,5.53,Poor
297,6,84,5.98,9,6,7,6,1,5,94,7.83,Good
298,7,52,6.61,8,7,6,3,0,6,42,7.02,Good
299,2,94,6.0,8,5,6,2,1,3,96,6.88,Average
300,2,89,7.53,5,5,6,7,0,3,97,6.8,Average
301,1,56,8.96,10,4,8,6,0,7,40,5.58,Poor
302,8,76,4.9,10,6,7,5,0,7,85,7.87,Good
303,1,50,6.1,7,7,5,3,0,7,94,5.43,Poor
304,9,76,4.77,4,1,6,6,0,2,59,7.29,Good
305,6,65,7.44,8,9,5,4,0,2,46,7.77,Good
306,7,87,8.01,8,8,7,7,0,5,96,8.7,Excellent
307,7,56,9.13,6,7,6,5,1,4,80,7.96,Good
308,3,93,5.53,7,9,5,5,0,7,40,6.41,Average
309,2,72,9.23,10,3,5,3,0,3,49,6.62,Average
310,9,90,4.35,8,4,7,3,1,5,84,8.12,Good
311,8,60,7.32,9,7,6,1,1,2,51,8.18,Good
312,7,91,4.31,10,6,8,1,1,1,43,7.93,Good
313,9,82,8.92,7,2,7,5,0,9,46,7.8,Good
314,4,99,6.91,4,2,8,2,1,4,49,6.5,Average
315,4,85,7.68,9,7,6,4,0,8,61,7.08,Good
316,1,86,8.57,6,9,5,3,1,7,64,6.42,Average
317,8,90,4.83,5,9,7,1,0,1,68,8.35,Good
318,3,66,4.21,9,7,7,4,1,7,78,6.0,Average
319,7,84,8.83,10,8,7,7,0,2,54,8.88,Excellent
320,2,97,5.73,4,3,4,6,0,3,58,5.92,Poor
321,2,54,4.71,9,1,6,6,0,1,78,5.57,Poor
322,7,97,6.58,7,7,4,5,1,7,97,8.24,Good
323,6,81,7.29,7,8,7,3,1,3,85,8.14,Good
324,3,52,4.17,4,2,7,6,1,6,92,4.97,Poor
325,9,96,5.51,10,9,8,7,1,7,85,8.97,Excellent
326,6,84,4.18,7,4,4,3,1,3,57,6.92,Average
327,6,63,6.31,9,9,5,1,0,2,81,7.95,Good
328,1,97,8.92,5,3,6,6,1,9,42,5.61,Poor
329,4,80,9.4,9,8,5,2,0,9,45,7.16,Good
330,6,80,7.5,5,2,5,6,0,7,61,6.75,Average
331,6,66,4.89,7,3,6,3,0,5,94,6.78,Average
332,5,73,8.98,9,1,7,2,0,4,93,7.51,Good
333,1,72,6.84,7,5,8,4,1,4,80,5.96,Poor
334,8,67,4.85,10,4,7,6,1,1,85,8.07,Good
335,5,99,9.07,5,1,7,3,1,4,92,7.64,Good
336,5,63,8.17,10,9,4,6,1,7,70,7.52,Good
337,7,99,8.02,7,6,5,6,1,5,60,8.29,Good
338,4,64,7.9,8,6,5,3,1,9,95,6.75,Average
339,6,64,5.1,6,2,5,2,0,4,47,6.22,Average
340,4,55,5.16,9,7,8,1,1,3,40,6.28,Average
341,3,76,7.79,8,9,8,7,0,6,42,6.74,Average
342,7,64,5.21,10,6,8,6,0,4,68,7.53,Good
343,8,99,6.41,7,8,6,5,0,2,93,9.08,Excellent
344,4,85,8.3,7,5,8,4,0,5,45,6.95,Average
345,2,57,8.31,6,2,4,3,1,4,72,5.78,Poor
346,3,64,6.49,7,4,4,6,1,5,57,5.91,Poor
347,1,52,8.36,6,1,7,7,0,9,81,4.9,Poor
348,8,96,8.61,9,1,7,1,1,4,94,8.78,Excellent
349,3,62,7.6,5,6,7,3,0,6,88,6.29,Average
350,7,90,5.26,6,2,7,6,0,4,97,7.55,Good
351,5,83,5.51,6,6,4,4,0,1,92,7.51,Good
352,5,73,5.73,8,1,7,5,0,2,40,6.45,Average
353,7,89,4.64,7,3,4,3,1,6,61,7.05,Good
354,9,81,5.5,9,9,8,6,0,8,70,8.33,Good
355,5,81,5.15,5,2,8,2,1,9,62,5.83,Poor
356,1,79,6.5,4,8,6,1,0,4,47,5.71,Poor
357,1,98,9.0,10,6,7,5,1,6,68,6.98,Average
358,2,62,4.57,6,6,8,3,1,3,83,5.74,Poor
359,6,50,7.96,4,7,8,6,1,9,90,6.73,Average
360,9,83,7.78,7,5,5,5,0,8,85,8.37,Good
361,8,64,4.53,10,4,5,2,0,1,58,7.69,Good
362,5,93,9.07,6,6,4,3,1,2,98,8.36,Good
363,1,63,7.13,4,8,6,5,1,9,88,5.43,Poor
364,7,78,6.0,8,4,5,3,0,3,99,7.97,Good
365,5,83,8.16,4,5,6,3,1,3,55,7.17,Good
366,6,67,5.42,10,7,8,5,1,9,58,6.84,Average
367,7,56,7.81,8,6,4,3,1,3,76,7.86,Good
368,3,78,4.22,10,4,6,2,0,5,61,6.07,Average
369,3,80,8.62,5,4,5,5,0,6,58,6.35,Average
370,5,74,6.46,7,4,8,6,0,3,43,6.74,Average
371,6,87,7.5,9,1,7,7,0,8,44,6.92,Average
372,9,63,5.22,4,5,8,5,0,2,44,7.37,Good
373,5,57,7.72,6,8,5,2,0,6,64,6.86,Average
374,1,76,8.25,10,7,5,2,1,2,63,6.84,Average
375,4,51,6.6,10,5,7,2,1,9,40,5.8,Poor
376,5,66,7.4,7,3,8,6,1,6,89,6.83,Average
377,5,86,6.51,4,1,6,6,1,9,67,6.05,Average
378,7,63,8.92,6,7,6,7,1,4,86,8.12,Good
379,4,74,6.74,6,3,8,7,1,3,60,6.47,Average
380,1,79,8.63,10,4,6,3,0,2,99,7.03,Good
381,5,78,8.41,9,5,8,3,1,8,58,7.15,Good
382,7,69,6.26,10,8,8,4,1,4,62,7.97,Good
383,6,70,5.27,9,7,5,7,0,2,53,7.41,Good
384,5,71,6.23,10,9,4,7,0,9,98,7.37,Good
385,4,84,8.54,10,3,5,3,1,8,45,6.78,Average
386,2,86,5.25,6,1,6,2,1,5,71,5.54,Poor
387,4,65,6.88,9,1,4,4,1,8,89,6.22,Average
388,3,99,8.43,6,1,8,7,0,5,71,6.72,Average
389,1,98,5.94,4,2,6,2,0,7,47,5.09,Poor
390,8,92,7.53,10,2,7,1,0,5,76,8.41,Good
391,5,66,5.35,5,7,6,7,0,5,61,6.45,Average
392,4,65,4.6,9,9,4,6,1,4,47,6.53,Average
393,8,51,8.37,8,8,4,5,1,5,77,8.18,Good
394,7,53,4.54,8,4,8,1,1,7,49,6.31,Average
395,2,70,5.49,8,2,7,6,0,3,42,5.48,Poor
396,1,88,8.7,5,3,8,6,0,4,52,5.98,Poor
397,4,83,5.91,6,5,7,2,1,8,78,6.37,Average
398,8,79,9.35,6,9,7,3,1,6,69,8.64,Excellent
399,2,55,9.39,7,8,8,5,1,8,43,5.96,Poor
400,3,66,5.48,8,3,6,3,0,2,84,6.31,Average
401,1,88,4.23,8,9,5,3,1,9,45,5.42,Poor
402,1,74,7.88,6,3,7,7,0,7,55,5.37,Poor
403,3,54,6.48,8,8,4,5,1,5,61,6.24,Average
404,5,54,4.55,6,1,8,5,1,7,66,5.42,Poor
405,3,69,7.89,10,4,6,1,0,2,60,6.9,Average
406,1,65,4.17,10,4,7,2,0,4,68,5.38,Poor
407,1,90,8.79,6,6,6,3,0,7,40,6.01,Average
408,8,86,4.76,9,2,8,2,1,2,69,7.88,Good
409,2,89,4.7,6,7,4,2,0,8,63,5.71,Poor
410,3,58,4.97,4,5,7,7,1,5,52,5.24,Poor
411,2,54,9.28,4,6,7,4,0,5,69,5.98,Poor
412,3,91,7.81,4,6,6,1,1,8,65,6.38,Average
413,7,51,8.41,4,6,8,3,0,1,73,7.65,Good
414,1,58,6.19,5,8,5,6,0,6,59,5.26,Poor
415,8,92,5.85,7,4,7,5,1,2,99,8.5,Excellent
416,2,85,5.29,7,8,4,5,0,1,90,6.9,Average
417,3,71,6.64,6,9,7,2,1,7,45,6.15,Average
418,9,71,7.04,10,4,7,1,1,4,82,8.55,Excellent
419,7,71,7.47,8,1,5,1,1,1,88,7.91,Good
420,4,83,5.41,4,3,5,3,0,6,48,5.78,Poor
421,5,78,9.22,7,1,8,3,1,6,76,7.1,Good
422,2,87,4.93,7,7,7,2,0,3,76,6.43,Average
423,8,95,9.31,4,1,7,2,0,6,55,7.83,Good
424,4,82,4.08,10,4,6,2,1,9,43,5.84,Poor
425,9,67,6.65,5,1,6,4,0,6,71,7.31,Good
426,5,56,5.83,5,2,4,1,1,1,59,6.23,Average
427,9,50,6.47,7,1,4,2,1,6,68,7.11,Good
428,4,82,7.14,5,5,6,7,1,8,70,6.41,Average
429,5,50,6.4,9,7,4,1,1,7,84,6.76,Average
430,9,73,6.28,4,3,7,6,1,8,56,7.11,Good
431,8,53,8.03,10,8,5,5,1,8,80,8.08,Good
432,3,53,7.77,7,5,7,5,0,9,64,5.72,Poor
433,1,67,8.58,4,5,6,1,0,3,84,6.05,Average
434,3,76,5.37,5,5,8,6,0,7,55,5.61,Poor
435,4,92,7.35,4,8,8,5,0,6,59,6.94,Average
436,2,81,7.22,5,2,6,5,0,2,81,6.22,Average
437,1,82,6.03,10,2,7,5,1,5,49,5.6,Poor
438,7,77,6.67,5,8,4,3,0,3,91,8.1,Good
439,8,91,5.73,4,9,4,6,1,5,99,8.36,Good
440,7,90,4.78,10,2,8,3,0,9,87,7.26,Good
